date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
29-Mar-15,147,11,6,11,8,3,9,9,17,14,6,,
30-Mar-15,204,2,4,7,2,11,6,11,6,11,9,,
01-Apr-15,328,3,6,2,5,2,7,6,20,4,7,,
03-Apr-15,452,5,8,3,6,4,7,9,9,4,5,,
04-Apr-15,427,1,2,3,6,5,4,7,8,9,8,,
