date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
07-Apr-15,55,1,0,3,0,6,1,2,0,5,3,10,5
08-Apr-15,2477,28,27,38,79,2,32,177,49,44,67,54,10
09-Apr-15,1383,7,10,103,25,105,17,245,89,77,132,81,5
10-Apr-15,2,2895,2721,784,18,21,25,49,45,66,45,6667,0
15-Apr-15,15,112,71,97,106,5675,47,52,2345,3420,2801,1473,0
18-Apr-15,1010,47,560,169,5164,5215,6145,5692,52,54,2348,2545,1
20-Apr-15,13,46,48,84,44,74,589,178,5287,5325,6282,1796,0
