date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
02-Apr-15,4,9,25,29,31,140,83,35,15407,21,22,,
03-Apr-15,245,56,23,14,78,15,24,25,36,64,47,,
04-Apr-15,300,35,56,14,78,15,24,25,36,64,47,,
