date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
29-Mar-15,44,5520,972,2076,1840,6040,5298,4249,2353,2872,8634,,
04-Apr-15,11175,2345,1568,4528,2578,1569,7526,4523,2568,2475,2456,,
