date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
04-Apr-15,154,2,3,6,5,8,9,11,25,1,0,,
05-Apr-15,145,1,2,3,6,5,8,9,11,25,1,,
