date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
04-Apr-15,0,4,,,,,,,,,,4,0
07-Apr-15,0,0,7,6,2,1,5,3,4,5,3,4,0
08-Apr-15,0,3,0,7,6,2,1,5,3,4,5,7,0
