date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
26-Mar-15,169965,171222,143604,108695,224251,85972,250907,6021,314013,255285,12365,12345,5
31-Mar-15,303923,304088,202457,143742,108766,224308,85994,250947,6042,314014,5645,12568,6
01-Apr-15,341523,341523,202510,143753,108771,224316,85997,250951,6045,314014,45552,23568,8
