date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
01-Apr-15,146,258,40,107,61,40,119,71,66,52,77,,
02-Apr-15,165,85,700,44,113,62,41,123,71,68,55,,
04-Apr-15,178,24,56,35,15,78,48,86,28,24,56,,
