date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
29-Mar-15,460,69,45,185,117,95,278,177,109,140,145,,
30-Mar-15,448,74,105,131,98,127,204,93,292,158,121,,
31-Mar-15,1625,53,95,45,94,151,159,217,132,153,223,,
01-Apr-15,2303,60,62,145,210,176,81,166,174,180,245,,
02-Apr-15,2958,83,120,176,185,280,198,126,256,262,220,,
03-Apr-15,3003,25,78,42,53,61,47,78,45,123,114,,
04-Apr-15,3524,25,45,26,24,28,29,27,111,14,12,,
07-Apr-15,83,25,36,117,25,85,26,35,69,11,1,,
