date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
26-Mar-15,2,2895,2721,784,18,21,25,49,45,66,45,6667,0
29-Mar-15,15,112,71,97,106,5675,47,52,2345,3420,2801,1473,0
30-Mar-15,1010,47,560,169,5164,5215,6145,5692,52,54,2348,2545,1
01-Apr-15,13,46,48,84,44,74,589,178,5287,5325,6282,1796,0
02-Apr-15,2,52,57,75,50,94,45,76,590,181,5289,6510,0
03-Apr-15,40,10,4,6,89,2,58,74,12,32,35,322,8
04-Apr-15,76,11,25,14,23,28,19,16,17,13,2,168,2
05-Apr-15,1125,35,26,78,45,12,13,15,16,89,111,112,10
