date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
26-Mar-15,1044,27,23,0,12,60,1,111,70,130,53,
30-Mar-15,4600,28,22,25,175,111,26,124,76,23,173,
