date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
26-Mar-15,40,8,2,1,6,8,1,4,13,16,9,,
29-Mar-15,63,9,12,10,3,1,7,10,1,6,13,,
30-Mar-15,18,2,11,12,10,3,1,7,11,1,6,,
31-Mar-15,35,4,4,12,12,10,3,7,12,1,6,,
01-Apr-15,100,5,10,4,13,13,11,3,1,7,13,,
02-Apr-15,76,7,9,12,4,16,13,13,4,2,8,,
03-Apr-15,98,8,7,11,13,15,8,7,5,19,11,,
04-Apr-15,41,7,5,11,23,42,15,6,7,8,2,,
05-Apr-15,111,5,6,13,19,2,5,6,20,1,2,,
